genres,main_genre,secondary_genre,hours_played
hammond organ,,,0.8217619444444440
christmas instrumental,,,0.8135563888888890
funana,,,0.8111963888888890
instrumental acoustic guitar,,,0.8083441666666670
instrumental worship,,,0.8042277777777780
coverchill,,,0.8032777777777780
gothenburg indie,,,0.7955091666666670
deep ccm,,,0.7928858333333330
futuristic swag,,,0.7884963888888890
chopped and screwed,,,0.7883583333333330
pop folk,,,0.7844772222222220
schranz,,,0.7827333333333330
theme,,,0.7808222222222220
noise rock,,,0.7790316666666670
uk experimental electronic,,,0.7785725
ghanaian hip hop,,,0.7743405555555560
canterbury scene,,,0.7738833333333330
chinese hip hop,,,0.7687680555555560
chanson,,,0.7666388888888890
nashville indie,,,0.7647777777777780
classical performance,,,0.7632244444444450
hungarian techno,,,0.7614419444444450
abstract,,,0.7565980555555560
neo r&b,,,0.7564366666666670
brass band,,,0.7475472222222220
deep new americana,,,0.7474830555555560
australian alternative rock,,,0.7461727777777780
denpa-kei,,,0.7408022222222220
turkish trap,,,0.7401547222222220
chutney,,,0.7400752777777780
classic bollywood,,,0.7400752777777780
swedish singer-songwriter,,,0.7383127777777780
hip house,,,0.7336111111111110
boston rock,,,0.7291952777777780
russian modern classical,,,0.7284397222222220
west virginia indie,,,0.7261491666666670
american folk revival,,,0.7237352777777780
rumba,,,0.7209691666666670
double drumming,,,0.7160291666666670
bubble trance,,,0.7144788888888890
sheffield indie,,,0.7142352777777780
french hip hop,,,0.7136702777777780
pop urbaine,,,0.7136702777777780
